Experiment 1_26 By Biosemi,,,,Experiment 2_29 By ANT,,,,Experiment 3_39 By BP,,,,Experiment 4_30 By ANT,,,,Experiment 5_65 By Ant,,,,Experiment 6_95 By BP,,,,Experiment 7_142 By Biosemi,,,,Experiment 8_223 By BP(Fp1 and Fp2 are damaged),,,,Experiment 9_29 By BP,,,
,,,,28,\,T7 T8 M1 M2,1   2   3   4   5   7   9  10  11  17  19  20  21  22  24  27  30  31  32,28,\,\,1 2 4 8 10 13,28,\,M1 T8 M2,1 2 3 4 5 6 7 8 20 23 24,28,\,Fz T7 T8,1 2 3 4 7 9 13 17 19 24,28,\,Fpz Fp2,1 2 4 5 6 25 28 31 32,28,\,Fpz Fp2,1   2   3   5   6   7  31,28, TP10,\,1 2 9 13 19,28,41 43 49 59 ,T7 T8 Tp7 Tp8 P8,1 2 3 4 5 6 8 9 11 12 13 14 15 18
,,,,29,\,T7 T8,1   2   3   4   7   8  10  12  13  14  15  17  19  20  28  29  30  31  32,29,2 3 7 ,\,1 2 3 4 5 6 7 9 14 17 25 28,29,4 5,M1 T7,1 2 3 5 6 8 24,29,22 26 30,M1 M2,1 2 6 12,29,2 6 10 13 16 17 18 20 28 30 38 39 54 55 58 65 66 73 75 77 78 79,Fpz,1 4 5 10 14 17 20 21 22 24 26 28 29 30 33 34,29,\,\,1   4   7  11  32,29,,20,1 3 4 10 12 13 14 20,29,59,\,1 3 4 5 6 10 11 18 19
,,,,.,,,,30,1 8 9 ,\,1 2 3 4 5 6 7 8 9 12 15 16 20 26 29 30,30,19,T8 M2,1 2 3 4 12 16 18 24 25,30,\,T7 T8 Oz O2,1 2 3 5 9 10,30,20 38 ,Fpz AF8,1 2 10 11 12 13 22 24 29 32,30,\,T7 P1 P7 PO7 T8,1  2  3  4  5  6  9,30, TP10 T8 O2,\,1 2 6 17 20,,,,
,,,,,,,,31,\,\,1 3 6 9 22 28,,,,,31,\,Fp2 P8,1 2 3 11,31,6 7 30 37 38 42 46 56 58 70 72 73 76 ,Fpz,1 9 10 12 13 15 16 18 19 23 24 27 32 33 34,31,\,\,1   3   5   9  15  25,31,,1 12 13 24 28 29 30,1 2 3 5 7 8 11 14 15 17 18 19,,,,
,,,,,,,,32,\,O1 O2 TP9 TP10 Fp1 Fp2 F7 F8 AF7 AF8 Fpz ,1 2 3 4 5 6 7 9 10 11 14 19 27 30,,,,,32,\,M1 T7 T8 M2,1 2 3 4 10 12 23,32,\,Fpz Fp2,1 2 10 12 19 26 27 31 32 ,32,\,P1 P7 P8 PO8,1   2   3   4   9  10,32,,24,2 8 9 10 11 14 15 17,,,,
,,,,,,,,33,\,\,4 9 14 15 22,,,,,33,26,T7 T8,1 2 3 4 7 10 11 17,33,68,Fpz Fp2,2 9 14 17 22 25 32,33,\,P1 P7,1   3   5   6  14,33, TP9 TP10 T7,\,1 2 3 7 11 18,,,,
,,,,,,,,34,\,\,3 4 7 15 30,,,,,34,\,T8 M2,1 2 3 4 9 19,34,19 38 52 76 79 80,Fpz Fp2 PO8 O2,3 4 6 8 9 10 13 25 31,34,\,\,1   2   4  15,34,,1 10,1 2 3 4 6 7 16 18 19,,,,
,,,,,,,,35,\,\,1 2 3 4 5 11 14 15 17 18 19 26,,,,,35,\,M1 T7 T8 M2,1 2 3 4 5 6 7 ,35,\,Fpz Fp2,4 6 8 11 15 20 22 23 28 31 32,35,\,P1 PO7 FT8,1   2   3   4   5  11  15,35,,\,1 2 6 7 10 11 12 15 17 19,,,,
,,,,,,,,36,\,T8 TP8,1 2 4 9 21 24,,,,,36,\,M1 M2,1 2 3 4 5 19,36,\,Fpz Fp2,1 2 5 6 7 8 10 12 15 18 19 20 28 34,36,\,\,1   2   5  13,36,,1,1 2 6 7 10 11 12 15 17 19,,,,
,,,,,,,,37,\,\,1 3 4 5 6 8 9 11 16 21 22 28 29 31,,,,,37,16 22,T7 T8,1 3 4 7 12 14 20 24,37,36 38 73 ,Fpz Fp2,2 3 10 11 13 15 16 18 20 22 23 26 28 29 31 33 35,37,\,\,1   2   3   4   6   7   8  24  25,37, Fpz AF3 IO T8,\,1 2 4 20,,,,
,,,,,,,,38,2 3 4,FC6 FC4 Fpz,1 2 3 4 6 7 8 9 10 11 14 19 20 22 31,,,,,38,8 18 20,\,1 2 3 4 5 6 8 9 11,38,\,Fpz Fp2 T7 T8,1 4 5 10 14 15 16 18 20 28 33,38,5 9 17 24,P7,1   2   8  21,38, ,\,1 2 3 5 10 15 17 18 19,,,,
,,,,,,,,39,2 5,\,1 2 3 4 5 7,,,,,39,\,M2,2 3 4 5 7 12 19 24,39,\,Fpz Fp2,2 13 27 34 35,39,\,\,1   2   5   7  11  14  15  17,39, T7 T8 F6,\,1 2 6 9 11 13 16 19,,,,
,,,,,,,,,,,,,,,,40,23,T8 M2,1 2 4 10 13 14 21,40,\,Fpz Fp2 Oz Tp7 T8,1 2 9 12 29 32 33,40,\,\,1  3  4,40, AF3,\,1 2 4 11 18,,,,
,,,,,,,,,,,,,,,,41,\,T7 T8,1 10,41,28 63 ,Fpz Fp2,1 3 4 5 7 8 9 11 12 14 15 16 17 19 23 25 28 32,41,1 3 27,O2 P6,1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  32,41,,1 2 3 11 19,1 2 3 5 9 10 15 16 17 19 20,,,,
,,,,,,,,,,,,,,,,42,\,\,1 2 5 6 7 9 22,42,76 78 ,Fpz Fp2,5 7 14 15 17 18 20 21 22 28 31 33,42,\,\,1   2   3   4   6   9  11  17  30,42, POz Oz ,5 7 12 18 20,2 4 6 7 9 10 11 12 16 17 19 20,,,,
,,,,,,,,,,,,,,,,43,\,\,1 2 3 4 5 7 13 25,43,27,Fpz Fp2 T7,2 4 5 7 11 12 14 20 24 27 30 32 33 34 35,43,\,\,1   2   3   4   5   8  14,43, T7 T8 TP8,3 20 27,1 2 3 4 5 6 7 8 9 12 15 18 19,,,,
,,,,,,,,,,,,,,,,44,1 5 7 8 10 11 12 13 14 15 19,\,1 2 3 5 6 7 8 9,44,18 20 30 58 62 69 70 73 79,Fpz Fp2 O1,1 2 3 5 7 9 17 20 21 24,44,\,\,1   3   4   5  21,44, T8 Oz,1 26 28 29 30,1 2 5 6 9 14 16 18 19,,,,
,,,,,,,,,,,,,,,,45,19,T7 T8,1 2 3 8 13 23,45,16 18 34 54 57,Fpz Fp2,1 2 4 5 6 7 10 12 13 14 15 17 18 19 23 25 28 30 31 33,45,\,\,1  3  4  7  8,45,PO3 TP10 T8 F3,\,3 5 7 11 14 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,46,\,\,1 4 9,46,\,Fpz Fp2 T7 T8,1 2 6 7 8 30 33 34,46,1,POz,1   2   3   4   5  10  13,46, T8,17,1 3 4 5 9 12 13 14 16 17 18 20,,,,
,,,,,,,,,,,,,,,,47,\,T7 T8,1 2 3 4 6 16 18 19,47,79,Fpz Fp2,1 2 3 5 8 11 12 19 23 26 28 29 31 32 33,47,3 4 5 8 9 10 20,T7 T8,1   2   4   5   6   7   8   9  12  13  14  15  17  19  20  22  26  27  30,47,,29 30,2 4 6 7 12,,,,
,,,,,,,,,,,,,,,,48,2 10 13 20 26,M1,1 2 3 4 6 7 8 11 12 17 23,48,\,Fpz Fp2 T7 Tp7,2 7 18 20 22 26 31,48,14,\,1  2,48, C1 Oz POz AF3 Fpz,26 28,1 2 3 4 6 7 16 18,,,,
,,,,,,,,,,,,,,,,49,\,\,1 2 4 17,49,2 13 15 16 18 29 30 38 39 44 45 46 47 48 55 56 57 60 63 69 70 ,Fpz Fp2,1 2 3 4 6 7 21 22 23 26 28,49,1 2 3 4 17 18 19 21 23 27 28 29,P6,1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  17  18  20  21  22  23  25  26  27  28  29  30  32,49, T7 TP7,\,1 8 10 11 12 13 17 18 20,,,,
,,,,,,,,,,,,,,,,50,\,M1 M2,1 2 3 4 7 15,50,\,Fpz Fp2 T8,2 3 9 12 20 26 31 32 33,50,\,FC2,1   3   5  10  21  24,50, T7 ,\,2 3 5 6 20,,,,
,,,,,,,,,,,,,,,,51,9 15 16 22 26 30,M1 M2,1 2 3 4 5 6 7 9 11 13 18,51,\,Fpz Fp2,1 2 7 9 14 17 18 19 21 22 25 26 28 32,51,3,\,1   2   3   4   5   8  11  26,51,\,1 4 6,1 2 3 5 6 7 12 14 15 16 17 19 20,,,,
,,,,,,,,,,,,,,,,52,9,T7 T8 M2,1 2 4 5 7 13 19 20,52,\,Fpz Fp2,1 2 3 4 6 9 10 23 24 25 26 27 29 33 34 35,52,\,\,4   5   6   7  10  11  12  13  14  15  16  18  19  26  27,52,\,7 8 9 10,2 3 12 20,,,,
,,,,,,,,,,,,,,,,53,16,T7 T8 M2,1 2 4 5 6 11 14 17 19,53,22 36 43 44 60 64 66 67 70 ,Fpz Fp2,1 6 18 21 22 30 34 35,53,\,\,2   4   6  12,53, O1 O2,4 20,2 3 4 5 6 8 9 10 19 20,,,,
,,,,,,,,,,,,,,,,54,4,FC6 T7 T8,1 2 5 8 14,54,\,\,1 3 7 11 12 14 ,54,2 3 4 5 6 8 9 10 18 20 26 28 29,\,1   2   3   5   6   7   8   9  10  11  12  13  15  16  17  19  20  21  28,54,\,\,1 2 4 5 8 9 10 12 13,,,,
,,,,,,,,,,,,,,,,55,\,F8 T7 M2,1 2 3 4 5 11 18 23 25,55,6,CP4 T7 O1,4 5 7 8 10 12 14 17 24 28 29 30,55,2 3 5 18 20,Fp1,1   2   3   4   5   6   7   8   9  10  11  13  16  20  21  27  29  30,55, TP10 T7,\,1 2 5 7 9,,,,
,,,,,,,,,,,,,,,,56,\,M1 M2 T7 T8,1 2 3 4 5,56,\,Fpz Fp2,1 2 3 4 6 9 18 26 27 29 35,56,17 18 19 20,\,1   3   5   6   7   8   9  11  13  14  15  17  19  21  23  25  26,56,\,1,1 2 3 4 5 15,,,,
,,,,,,,,,,,,,,,,57,\,M1 M2 T7 T8,2 6 19,57,\,\,2 4 5 6 10 11 18 22 23 26 27 30 31 32 33 35,57,12 26 29 30,\,1   2   3   4   6   8   9  15  25,57,\,10 12 17 18 20 21 28,1 3 4 5 7 10 12 17,,,,
,,,,,,,,,,,,,,,,58,\,M2,1 2 3 5,58,6 30 38 ,Fpz,1 2 3 4 6 9 10 16 17 19 24 27 28 29 35,58,6,\,2   5   6  12  16,58, TP10 F3 T7,1 2 6 10 12 23,1 2 3 4 7 13,,,,
,,,,,,,,,,,,,,,,59,11 12,T7 T8 M2,1 2 3 4 5 6 8 9 20 25,59,61,\,1 2 3 7 9 12 13 15 17 19 20 22 23 24 25 26 28 30 32 35,59,\,\,1   3   4   6   9  12  15  16  17  22,59,\,5 6 11 12 15 16 20,2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,60,2,M2,1 2 4 5 6 7 9 24,60,55 61 ,\,1 2 3 4 5 7 19 20 21 23 30 31,60,\,\,1   2   3   4   7   9  11  12  26  29,60, TP9 TP10 F3 T8,1 2 3,1 5 8 9 11 18,,,,
,,,,,,,,,,,,,,,,61,\,\,1 2 3 4 5 7 8 10,61,\,Fpz Fp2 P2 P4,1 2 4 5 6 7 9 13 14 15 16 17 19 22 23 24 25 26 27,61,3 20,TP7 T8 PO8,1   3   4   5   6   8   9  10  14  16  24  25  26,61,,\,1 4 9 13 15 18 19 20,,,,
,,,,,,,,,,,,,,,,62,\,T7 T8,1 2 3,62,\,Fpz Fp2,2 4 5 7 10 16 21 28 32 33 34 35,62,\,Fp2 AF4,1   2   6   8  10  20,62, TP9 TP10,3,1 2 4 6 7 8 9 10 11 12 14 15 16 17 18 19,,,,
,,,,,,,,,,,,,,,,63,\,T8 M2,1 2 3 4 5 10 17,63,6 10 17 20 23 28 29 31 32 34 36 38 41 45 46 48 50 53 55 56 57 58 59 63 64 65 66 67 68 69 70 71 72 73 76 79 80,\,1 2 3 7 9 10 11 12 13 16 18 29 32 33 35,63,2 3 4 5 12 17 18 20 21 26 28 29 30,FO7,1   2   3   4   5   7   8  10  12  19  22  32,63, F7 FC5 T7 FC3 F5 AF7 FT7,3 4 12 13 14 15 17,1 2 3 5 6 7 8 9 10 14 16 18 19 20,,,,
,,,,,,,,,,,,,,,,64,3 4 5 6 8 9 10 11 12 13 14 15,T7 T8,1 2 3 4 5 6 13,64,\,Fpz Fp2 Fp1 AF7 AF8,3 5 7 9 24 30,64,\,\,1   2   3   4   6   7   9  10  11  12  13  19  23,64, TP9 TP10,15 21,1 2 3 4 13 20,,,,
,,,,,,,,,,,,,,,,65,\,T7 T8,1 3 4 5 20,65,76,Fpz Fp2 Fp1 AF7,1 5 6 12 13 17 19 24 26 27 29 31 33,65,,TP7 T8,1   2   6   7  21  24  28  32,65, TP9 TP10 ,21 24,1 2 3 6 8 10 15 19,,,,
,,,,,,,,,,,,,,,,,,,,66,\,\,1 4 5 6 9 11 13 14 21 23 24 27,66,\,\,1   2   3   9  27,66, TP9 TP10 O1,\,1 2 3 5 6 8 10 13 18 19,,,,
,,,,,,,,,,,,,,,,,,,,67,9 36 46 ,T7 T8,1 2 5 7 13 18 20 21 22 23 24 26 27 28 29 30 31 33 34,67,20,\,1   4   5   7   9  10  15  26  27  32,67,\,1 2 5 6,1 2 6 7 9 11 14 15 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,68,\,Fpz T8,1 2 3 6 7 8 12 25 26 28 29 30 31,68,27,Fpz,1   2   4   9  13  14  15  22  24  26  32,68, TP9 TP10,18 16 19 26 29,2 3 4 6 10 13 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,69,33 36 38 40 56 58 60 72 73,Fpz Fp2,1 2 3 5 6 9 18 27 28 30 32 34 35,69,\,\,1   2   3   6   9  17  23  27  32,69, T7 TP9 TP10,\,1 2 5 6 7 8 9 10 11 12 13 15 16 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,70,55,Fpz Fp2 T7 TP7 ,1 2 3 9 11 12 13 16 17 18 21 23 24 25 28 29 30 34 35,70,\,\,1   2   3   6   9  10,70, TP9 TP10 Fpz,1 3 8 17 21,1 2 3 4 13 20,,,,
,,,,,,,,,,,,,,,,,,,,71,79,Fpz Fp2,1 4 7 8 12 13 14 15 17 18 19 20 22 24 25 28 29 30 31 32,71,\,T7 T8,1   2   9  23,71, TP9 TP10 T8,\,1 2 3 7 9 12 15 20,,,,
,,,,,,,,,,,,,,,,,,,,72,38 56 58 70 75 ,Fpz Fp2,1 4 5 7 8 10 13 14 15 20 22 23 29 32 35,72,22,\,1   2   3   5   7   8  11  12  15  19  20  21  29  30,72, TP9 TP10,3 4 9 30,1 2 3 4 5 6 7 13 17,,,,
,,,,,,,,,,,,,,,,,,,,73,22 29 30 33 38 76  ,Fpz Fp2 AF4,1 2 3 6 7 23 27 30,73,\,\,1   2   3   4   5  11  14  19,73, TP9 TP10 T7 T8,\,1 2 8 9 10 12 14 15 17 20,,,,
,,,,,,,,,,,,,,,,,,,,74,80,Fpz Fp2,1 2 4 7 19 24 26 31,74,\,\,1   2   3   5   6  12  14  19,74, TP9 TP10 AF3,9,1 2 3 14 15,,,,
,,,,,,,,,,,,,,,,,,,,75,20 26 28 32 33 36 38 46 50 51 62 63 72 76 78 79 ,Fpz Fp2,1 2 5 7 8 9 11 14 19 20 23 26 27 28 30,75,\,\,1   2   5   7   9  12  13  15  24  38  41  49  53  54,75, TP10,3 6 12,1 2 4 5 6 8 9 10 11 12 13 16 17 18 20,,,,
,,,,,,,,,,,,,,,,,,,,76,36 39 40 ,Fpz Fp2 Pz,4 5 8 9 10 11 12 13 14 15 19 31,76,\,T7 T8,1  2  3  4  5  6  7,76, TP9 TP10 F3,17 18 21 26 28 29,1 3 4 6 8 9 11 15 17 18,,,,
,,,,,,,,,,,,,,,,,,,,77,\,Fpz Fp2 T7 FT7,1 2 8 11 16 19 22 33,77,26,Fp2 AF8 T8,1   2   3   4   5   6   7   8   9  10  11  12  18  31,77, TP9 TP10,1 2 12 17 18 29,1 2 4 6 10 11 12 16 17 19 20,,,,
,,,,,,,,,,,,,,,,,,,,78,20 32,Fpz Fp2 AF4 T8,1 2 3 4 17 19 21 22 24 25 31 34 35,78,\,\,1  3  4  5,78, TP9 TP10,\,1 2 8 14 17 18,,,,
,,,,,,,,,,,,,,,,,,,,79,\,Fpz Fp2 TP7,1 2 5 7 8 9 11 17 18 20 22 23 25 26 29 30 31,79,\,\,1   2   3   9  11,79, TP9 TP10 AF3 AF4,\,1 3 5 7 8 11 14 15 16 17 18,,,,
,,,,,,,,,,,,,,,,,,,,80,6 7 23 39 40 58 77 ,Fpz Fp2,1 2 4 8 11 13 15 17 18 25 27 28 34,80,\,\,1 2 5 11 13 14 15 16 20 21 22 23 25 26 27 28 29 31 32 33 34 35,80, TP9 TP10,2 3 4 5 6 10 11 13 17 18,3 10 11 12 17,,,,
,,,,,,,,,,,,,,,,,,,,81,18,Fpz Fp2,2 3 4 6 7 24 26 27 30,81,\,\,1 2 3 4 5 7 8 9 10 11 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 35,81, T7 T8 TP8,3,3 4 7 13 14 17 18 19,,,,
,,,,,,,,,,,,,,,,,,,,82,6 12 13 18 30 31 33 36 40 70 76 78 79 ,Fpz Fp2 T7 CP1 Oz PO7 PO4 PO8 Fp1 ,1 2 3 4 11 13 19 20 30 34 35,82,\,\,1 2 3 4 7 8 9 12 14 15 21 23 26 29 33,82,\,\,14 17 18,,,,
,,,,,,,,,,,,,,,,,,,,83,\,Fpz Fp2 PO8,1 3 5 6 8 9 10 11 14 17 18 19 22 24 28 30 31 33,83,\,\,1   2   6  11  21  23  24,83, TP9 TP10 T8 AF7,25 26 27 28 29 30,2 3 4 10 11 12 13 16 19,,,,
,,,,,,,,,,,,,,,,,,,,84,\,Fpz Fp2 Fp1,1 2 18 22 25 32 33 35,84,\,\,1   3   4   8  11  12  16,84,\,3,1 2 3 4 6 9 11 15 16,,,,
,,,,,,,,,,,,,,,,,,,,85,78,Fpz Fp2 AF3,1 2 3 5 11 27 28 29 34,85,\,\,1   2   3   7  12  16  20,85, TP9 TP10 T7 AF4,\,1 2 3 7 12 13 20,,,,
,,,,,,,,,,,,,,,,,,,,86,18 24 29 30 33 36 78 80 ,Fpz Fp2 T8,1 2 6 7 8 10 22 30 31 32 35,86,\,\,1   3   4   5   7  13  30  32,86, T7 T8,1 2 3 4 8 11 12 26 30,1 2 3 7 14 18 20,,,,
,,,,,,,,,,,,,,,,,,,,87,5,Fpz Fp2,1 4 6 14 15 16 17 18 20 22 23 25 26 30 31 34,87,\,\,1   3   4   7   9  12  21,87,T7 T8 ,23,5 6 7 8 9 13 15 17 19,,,,
,,,,,,,,,,,,,,,,,,,,88,38 69 79 80,Fpz Fp2 TP7 T7 T8,4 13 14 15 18 19 22 23 26 27 28 29 31 33 35,88,\,\,1  2  3  5  9,88, TP9 TP10 ,14 17 23 24,5 8 9 11 12 14 15 16 17 18 19 20,,,,
,,,,,,,,,,,,,,,,,,,,89,1 2 4 37 ,Fpz Fp2,1 2 3 4 5 6 7 8 9 10 11 13 15 17 19 20 21 22 26 29 32 35,89,\,\,1   2   3   4   5   6   7   8   9  10  11  12  14  15  18  19  20  22  23  25  30,89,  TP9 TP10 ,\,1 3 4 5 15 17 19 20,,,,
,,,,,,,,,,,,,,,,,,,,90,22 31 37 60 79 ,Fpz Fp2 T7 T8,1 6 17 19 21 25 27 28 30 31 32 33 34,90,\,\,1   4   5  14  16  32,90, TP9 TP10 ,\,1 2 3 5 9 11 12 16 19 20,,,,
,,,,,,,,,,,,,,,,,,,,91,\,Fpz Fp2 T7 PO7,2 3 4 5 6 7 9 10 11 12 14 18 20 22 27,91,\,\,1   2   3   4   6   7   8   9  10  12,91, TP9 TP10 ,2 3 4,1 3 7 8 13 17 19 20,,,,
